trip_id,source_area,temple_name,temple_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
1163,Dwaraka Nagar,Sri uma ramalingeshwara alayam,Akkayyapalem,1.5,7-12 min,Rs 31,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri uma ramalingeshwara alayam in Akkayyapalem, Visakhapatnam region. Approx 1.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1164,Dwaraka Nagar,Sri Veera bhadra Swamy temple,Maddilapalem,0.9,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Veera bhadra Swamy temple in Maddilapalem, Visakhapatnam region. Approx 0.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1165,Dwaraka Nagar,Sri Hanuman Temple,Akkayyapalem,1.5,7-12 min,Rs 31,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Hanuman Temple in Akkayyapalem, Visakhapatnam region. Approx 1.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1166,Dwaraka Nagar,Nukambika temple,Akkayyapalem,1.4,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Nukambika temple in Akkayyapalem, Visakhapatnam region. Approx 1.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1167,Dwaraka Nagar,Sampath Venkateshwara Devalayam,Gnanapuram,1.5,7-12 min,Rs 31,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sampath Venkateshwara Devalayam in Gnanapuram, Visakhapatnam region. Approx 1.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1168,Dwaraka Nagar,siva sai rama temple,Akkayyapalem,1.4,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"MVP Colony, Siripuram, RK Beach (5 km)","Travel from Dwaraka Nagar to siva sai rama temple in Akkayyapalem, Visakhapatnam region. Approx 1.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1169,Dwaraka Nagar,Shri Kanchi Kaamakoti Shankara Matha - Visakhapatnam Branch,Seethammadhara,1.9,7-12 min,Rs 36,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Siripuram area, RK Beach (3 km), Submarine Museum","Travel from Dwaraka Nagar to Shri Kanchi Kaamakoti Shankara Matha - Visakhapatnam Branch in Seethammadhara, Visakhapatnam region. Approx 1.9 km away. Open 06:00 AM – 08:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1170,Dwaraka Nagar,Sri Sri Sri Vijaya Ganapathi Swamy Temple,MVP Colony,2.3,7-12 min,Rs 42,Rs 46,Rs 80,Low,Rapido Bike (fastest and cheapest),15-30 min (morning puja / evening rush),5-10 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Sri Sri Vijaya Ganapathi Swamy Temple in MVP Colony, Visakhapatnam region. Approx 2.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1171,Dwaraka Nagar,Seethammapeta Venayaka Temple,Seethammadhara,1.8,7-12 min,Rs 35,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Seethammapeta Venayaka Temple in Seethammadhara, Visakhapatnam region. Approx 1.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1172,Dwaraka Nagar,Abhaya Anjaneya Swami Temple,Seethammadhara,1.9,7-12 min,Rs 36,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Abhaya Anjaneya Swami Temple in Seethammadhara, Visakhapatnam region. Approx 1.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1173,Dwaraka Nagar,Sri Ramalingeshwara Swamy Temple,MVP Colony,2.3,7-12 min,Rs 42,Rs 46,Rs 80,Low,Rapido Bike (fastest and cheapest),15-30 min (morning puja / evening rush),5-10 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Ramalingeshwara Swamy Temple in MVP Colony, Visakhapatnam region. Approx 2.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1174,Dwaraka Nagar,Bramarambika Mallikarjuna Swamy Temple,Seethammadhara,1.9,7-12 min,Rs 36,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Bramarambika Mallikarjuna Swamy Temple in Seethammadhara, Visakhapatnam region. Approx 1.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1175,Dwaraka Nagar,SHANTINATH JAIN TEMPLE VIZAG,Seethammadhara,1.8,7-12 min,Rs 35,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to SHANTINATH JAIN TEMPLE VIZAG in Seethammadhara, Visakhapatnam region. Approx 1.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1176,Dwaraka Nagar,Sri Sri Sri Parvathi Eshwaralayam,MVP Colony,2.4,7-12 min,Rs 43,Rs 48,Rs 81,Low,Rapido Bike (fastest and cheapest),15-30 min (morning puja / evening rush),5-10 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Sri Sri Parvathi Eshwaralayam in MVP Colony, Visakhapatnam region. Approx 2.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1177,Dwaraka Nagar,Sri Sadguru Brahma Ramadootha Hanuman Temple,Seethammadhara,1.9,7-12 min,Rs 36,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Sadguru Brahma Ramadootha Hanuman Temple in Seethammadhara, Visakhapatnam region. Approx 1.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1178,Dwaraka Nagar,Shree Kanakadurga Ammavari Temple,Seethammadhara,1.9,7-12 min,Rs 36,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Shree Kanakadurga Ammavari Temple in Seethammadhara, Visakhapatnam region. Approx 1.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1179,Dwaraka Nagar,Shirdi Sai Baba Temple,Seethammadhara,2.0,7-12 min,Rs 38,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Shirdi Sai Baba Temple in Seethammadhara, Visakhapatnam region. Approx 2.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1180,Dwaraka Nagar,RadhaKrishna temple prasad pan shop,MVP Colony,2.2,7-12 min,Rs 40,Rs 44,Rs 80,Low,Rapido Bike (fastest and cheapest),15-30 min (morning puja / evening rush),5-10 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to RadhaKrishna temple prasad pan shop in MVP Colony, Visakhapatnam region. Approx 2.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1181,Dwaraka Nagar,"Utkal Sanskrutika Samaj, ( Puri Jaganath Swamy)",Ram Nagar,2.0,7-12 min,Rs 38,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Utkal Sanskrutika Samaj, ( Puri Jaganath Swamy) in Ram Nagar, Visakhapatnam region. Approx 2.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1182,Dwaraka Nagar,"Sri Sri Sri kankamma, Bhulokamba, pydimamba temples",Seethammadhara,1.9,7-12 min,Rs 36,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Sri Sri kankamma, Bhulokamba, pydimamba temples in Seethammadhara, Visakhapatnam region. Approx 1.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1183,Dwaraka Nagar,Ganesh Temple,Seethammadhara,1.8,7-12 min,Rs 35,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Ganesh Temple in Seethammadhara, Visakhapatnam region. Approx 1.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1184,Dwaraka Nagar,Vishwanath temple vizag,Seethammadhara,1.9,7-12 min,Rs 36,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Vishwanath temple vizag in Seethammadhara, Visakhapatnam region. Approx 1.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1185,Dwaraka Nagar,Sri Sri Sri Kanaka Durgamma Aalayam,MVP Colony,2.7,7-12 min,Rs 47,Rs 54,Rs 85,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Sri Sri Kanaka Durgamma Aalayam in MVP Colony, Visakhapatnam region. Approx 2.7 km away. Open 06:00 AM – 08:30 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1186,Dwaraka Nagar,Kites Junior College,MVP Colony,2.5,7-12 min,Rs 45,Rs 50,Rs 82,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Kites Junior College in MVP Colony, Visakhapatnam region. Approx 2.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1187,Dwaraka Nagar,Sri Sri Sri Shiridi Sainadh Alayam,MVP Colony,2.3,7-12 min,Rs 42,Rs 46,Rs 80,Low,Rapido Bike (fastest and cheapest),15-30 min (morning puja / evening rush),5-10 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Sri Sri Sri Shiridi Sainadh Alayam in MVP Colony, Visakhapatnam region. Approx 2.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1188,Dwaraka Nagar,"Ramakrishna Mission Ashrama, Vizag",RK Beach,2.9,7-12 min,Rs 50,Rs 58,Rs 87,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"RK Beach (50 m), Submarine Museum (1 km), Kailasagiri (5 km)","Travel from Dwaraka Nagar to Ramakrishna Mission Ashrama, Vizag in RK Beach, Visakhapatnam region. Approx 2.9 km away. Open 05:30 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1189,Dwaraka Nagar,"Dutt Ganapathi Temple , siripuram",Siripuram,1.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),12-27 min (morning puja / evening rush),5-7 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Dutt Ganapathi Temple , siripuram in Siripuram, Visakhapatnam region. Approx 1.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1190,Dwaraka Nagar,Vizag Square,Waltair Main Road,1.6,7-12 min,Rs 32,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),13-28 min (morning puja / evening rush),5-8 min (early morning or after 2 PM),"Waltair Club, RK Beach (2 km), Andhra University","Travel from Dwaraka Nagar to Vizag Square in Waltair Main Road, Visakhapatnam region. Approx 1.6 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1191,Dwaraka Nagar,Shridi Sai Temple,Ram Nagar,2.0,7-12 min,Rs 38,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),14-29 min (morning puja / evening rush),5-9 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Shridi Sai Temple in Ram Nagar, Visakhapatnam region. Approx 2.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1192,Dwaraka Nagar,Ramkrishna Mission,RK Beach,2.9,7-12 min,Rs 50,Rs 58,Rs 87,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Dwaraka Nagar to Ramkrishna Mission in RK Beach, Visakhapatnam region. Approx 2.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
1193,Dwaraka Nagar,MercuryLingam Temple Pamula Narsaiah,RK Beach,2.8,7-12 min,Rs 49,Rs 56,Rs 86,Low,Rapido Bike (fastest and cheapest),16-31 min (morning puja / evening rush),5-11 min (early morning or after 2 PM),"RK Beach (1 km), Submarine Museum (2 km), Kailasagiri (6 km)","Travel from Dwaraka Nagar to MercuryLingam Temple Pamula Narsaiah in RK Beach, Visakhapatnam region. Approx 2.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
